Alt_m;MS
0.03;2.18E-08
0.055;1.38E-08
0.085;2.04E-08
0.11;1.50E-08
0.135;1.75E-08
0.17;2.16E-08
0.19;1.72E-08
0.215;2.93E-08
0.23;2.04E-08
0.25;1.88E-08
0.285;1.60E-08
0.305;1.29E-08
0.335;1.12E-08
0.36;1.17E-08
0.39;1.36E-08
0.41;1.46E-08
0.425;1.79E-08
0.435;1.41E-08
0.47;1.07E-08
0.5;8.46E-09
0.545;1.26E-08
0.58;9.71E-09
0.59;1.60E-08
0.61;1.38E-08
0.635;3.27E-08
0.655;7.14E-09
0.675;8.49E-09
0.695;1.13E-08
0.72;1.61E-08
0.745;3.27E-08
0.775;3.51E-08
0.8;4.67E-08
0.816;9.82E-09
0.85;7.16E-09
0.875;5.38E-09
0.91;2.36E-08
0.945;3.79E-08
0.975;1.42E-08
0.995;2.90E-08
1.015;1.94E-08
1.05;2.01E-08
1.1;2.05E-08
1.165;1.53E-08
1.21;2.51E-08
1.25;1.76E-08
1.29;1.14E-08
1.32;1.67E-08
1.35;2.16E-08
1.38;1.54E-08
1.41;1.67E-08
1.43;1.58E-08
1.47;1.33E-08
1.49;2.25E-08
1.52;1.89E-08
1.54;9.48E-09
1.58;1.37E-08
1.61;2.18E-08
1.64;1.60E-08
1.66;2.38E-08
1.7;1.95E-08
1.73;1.91E-08
1.75;1.87E-08
1.78;1.31E-08
1.82;1.40E-08
1.85;1.80E-08
1.9;1.77E-08
1.94;9.19E-09
1.96;1.43E-08
1.99;1.02E-08
2.025;1.15E-08
2.06;1.51E-08
2.08;1.37E-08
2.095;1.09E-08
2.135;1.16E-08
2.155;6.83E-09
2.165;1.01E-08
2.19;1.78E-08
2.225;1.46E-08
2.245;1.56E-08
2.265;1.73E-08
2.28;1.47E-08
2.3;1.42E-08
2.33;1.54E-08
2.36;1.54E-08
2.39;2.09E-08
2.415;1.47E-08
2.435;1.19E-08
2.45;9.85E-09
2.47;1.05E-08
2.48;1.24E-08
2.49;1.04E-08
2.505;7.87E-09
2.535;1.19E-08
2.545;1.01E-08
2.575;9.00E-09
2.585;1.05E-08
2.61;1.13E-08
2.64;1.26E-08
2.67;1.18E-08
2.685;9.45E-09
2.715;1.30E-08
2.725;1.82E-08
2.745;1.06E-08
2.77;1.11E-08
2.79;1.14E-08
2.82;1.10E-08
2.85;1.04E-08
2.9;1.00E-08
2.93;1.23E-08
2.955;1.06E-08
2.97;8.13E-09
3;1.37E-08
3.02;1.68E-08
3.05;9.68E-09
3.07;1.01E-08
3.09;1.39E-08
3.115;1.21E-08
3.14;1.11E-08
3.17;1.27E-08
3.2;1.99E-08
3.22;1.20E-08
3.26;1.20E-08
3.29;1.03E-08
3.32;1.30E-08
3.34;1.55E-08
3.37;1.21E-08
3.42;2.04E-08
3.44;2.20E-08
3.45;2.41E-08
3.47;3.07E-08
3.53;2.58E-08
3.55;2.33E-08
3.565;3.72E-08
3.6;2.45E-08
3.63;4.02E-08
3.65;1.94E-08
3.67;2.62E-08
3.685;1.65E-08
3.7;2.35E-08
3.71;2.00E-08
3.73;2.10E-08
3.76;2.23E-08
3.77;3.65E-08
3.795;2.52E-08
3.81;1.31E-08
3.82;1.41E-08
3.83;1.67E-08
3.85;1.68E-08
3.87;1.89E-08
3.895;1.94E-08
3.92;2.09E-08
3.95;3.68E-08
3.98;3.56E-08
4.01;2.83E-08
4.03;3.36E-08
4.055;2.02E-08
4.08;2.51E-08
4.115;2.42E-08
4.14;2.13E-08
4.17;2.18E-08
4.21;1.87E-08
4.25;1.63E-08
4.27;1.77E-08
4.295;1.87E-08
4.32;1.93E-08
4.36;2.20E-08
4.39;2.98E-08
4.415;2.91E-08
4.44;2.09E-08
4.475;2.05E-08
4.535;3.28E-08
4.61;1.95E-08
4.62;3.23E-08
4.645;2.44E-08
4.66;2.62E-08
4.685;2.07E-08
4.72;2.02E-08
4.77;1.84E-08
4.8;2.48E-08
4.835;1.95E-08
4.86;1.82E-08
4.89;2.09E-08
4.91;2.20E-08
4.92;5.91E-08
4.945;1.54E-08
4.975;1.76E-08
5.01;1.76E-08
5.04;1.92E-08
5.09;2.20E-08
5.12;2.62E-08
5.15;2.80E-08
5.18;2.48E-08
5.22;2.34E-08
5.27;2.58E-08
5.3;2.59E-08
